CRIME_TYPE,INCIDENT_DATE,INCIDENT_UNIQUE_IDENTIFIER,INCIDENT_REASON,LOCATION_DISTRICT,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE
BURG - AUTO,1/1/17 22:00,17-900867,BURGLARY-AUTO,29X,6200 HILLMONT DR,Oakland,CA
DISORDERLY CONDUCT,1/17/17 22:27,17-901107,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,27Y,2000 57TH AV,Oakland,CA
BURG - AUTO,1/12/17 17:30,17-901108,BURGLARY-AUTO,03X,800 MADISON ST,Oakland,CA
BURG - AUTO,1/17/17 13:39,17-901110,BURGLARY-AUTO,22Y,3000 JOAQUIN MILLER RD,Oakland,CA
BURG - AUTO,1/18/17 14:05,17-901112,BURGLARY-AUTO,22X,3400 FRUITVALE AV,Oakland,CA
BURG - AUTO,1/18/17 18:05,17-901114,BURGLARY-AUTO,14X,200 BAY PL,Oakland,CA
BURG - AUTO,1/11/17 13:00,17-901115,BURGLARY-AUTO,35X,2900 EL MONTE AV,Oakland,CA
BURG - AUTO,1/18/17 17:00,17-901117,BURGLARY-AUTO,04X,1700 FRANKLIN ST,Oakland,CA
BURG - RESIDENTIAL,1/18/17 17:00,17-901118,BURGLARY-FORCIBLE ENTRY,17Y,900 BAYVIEW AV,Oakland,CA
DOMESTIC VIOLENCE,1/2/17 3:00,17-000176,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,8400 EDES AV,Oakland,CA
BURG - AUTO,11/22/16 10:20,16-915860,BURGLARY-AUTO,27Y,5800 AVENAL AV,Oakland,CA
BURG - AUTO,11/22/16 11:00,16-915867,BURGLARY-AUTO,19X,5TH AV & E 8TH ST,Oakland,CA
BURG - AUTO,11/22/16 6:15,16-915869,BURGLARY-AUTO,77X,7TH ST,Oakland,CA
RECOVERED O/S STOLEN,1/2/17 5:53,17-000182,VEHICLE THEFT - AUTO,05X,800 22ND ST,Oakland,CA
VANDALISM,11/22/16 14:30,16-915870,VANDALISM,03X,00 10TH ST,Oakland,CA
BURG - AUTO,11/22/16 7:45,16-915875,BURGLARY-AUTO,23X,3400 E 12TH ST,Oakland,CA
BURG - AUTO,11/22/16 19:00,16-915876,BURGLARY-AUTO,12X,4600 TELEGRAPH AV,Oakland,CA
STOLEN VEHICLE,11/11/16 7:45,15-060628,VEHICLE THEFT - AUTO,12Y,5400 MILES AV,Oakland,CA
BURG - AUTO,1/2/17 0:00,17-000207,BURGLARY-AUTO,03X,1300 ALICE ST,Oakland,CA
DOMESTIC VIOLENCE,1/2/17 10:48,17-000210,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,21Y,3100 PLEITNER AV,Oakland,CA
FRAUD,1/18/17 15:55,17-901103,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,11X,6400 IRWIN CT,Oakland,CA
VANDALISM,1/13/17 20:10,17-901104,VANDALISM,14Y,400 SANTA CLARA AV,Oakland,CA
VANDALISM,11/22/16 20:00,16-915877,VANDALISM,01X,500 3RD ST,Oakland,CA
NARCOTICS,12/26/16 22:52,16-067940,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,26Y,71ST AV & INTERNATIONAL BLVD,Oakland,CA
ROBBERY,12/26/16 22:00,16-067949,ROBBERY-FIREARM,14Y,500 OAKLAND AV,Oakland,CA
DOMESTIC VIOLENCE,1/30/17 12:00,17-005353,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02X,700 MARKET ST,Oakland,CA
STOLEN VEHICLE,1/26/17 23:00,17-005357,VEHICLE THEFT - AUTO,31Y,500 85TH AV,Oakland,CA
PETTY THEFT,11/17/16 15:05,16-915851,THEFT,30X,8100 INTERNATIONAL BLVD,Oakland,CA
STOLEN VEHICLE,1/30/17 20:30,17-005416,VEHICLE THEFT - AUTO,30Y,7800 MICHIGAN AVE.,Oakland,CA
STOLEN VEHICLE,11/12/16 21:00,16-060358,VEHICLE THEFT - AUTO,21X,2500 26TH AV,Oakland,CA
STOLEN VEHICLE,1/30/17 19:20,17-005417,VEHICLE THEFT - AUTO,28X,3300 MORCOM AV,Oakland,CA
STOLEN VEHICLE,11/12/16 20:00,16-060360,VEHICLE THEFT - AUTO,29X,3100 63RD AV,Oakland,CA
STOLEN VEHICLE,12/24/16 9:00,16-068066,VEHICLE THEFT - AUTO,12Y,5900 CANNING ST,Oakland,CA
PETTY THEFT,11/12/16 20:00,16-060367,PETTY THEFT:$50-,07X,2500 MYRTLE ST,Oakland,CA
STOLEN VEHICLE,11/12/16 22:00,16-060368,VEHICLE THEFT - AUTO,25X,3400 38TH AV,Oakland,CA
PETTY THEFT,11/12/16 17:30,16-060369,THEFT,15X,300 E 18TH ST,Oakland,CA
MISDEMEANOR ASSAULT,11/11/16 16:00,16-060146,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10X,6300 BAKER ST,Oakland,CA
DOMESTIC VIOLENCE,11/11/16 21:15,16-060147,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,1100 100TH AV,Oakland,CA
PETTY THEFT,12/17/16 18:50,17-900179,THEFT,05X,1500 ADELINE ST,Oakland,CA
STOLEN VEHICLE,12/21/16 17:00,16-068552,VEHICLE THEFT - AUTO,05Y,2000 PERALTA ST,Oakland,CA
ROBBERY,1/15/17 14:50,17-002646,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",30Y,7200 BANCROFT AV,Oakland,CA
DOMESTIC VIOLENCE,11/11/16 15:30,16-060141,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10X,1000 63RD ST,Oakland,CA
BURG - RESIDENTIAL,12/23/16 8:30,16-068107,BURGLARY-FORCIBLE ENTRY,02Y,900 CENTER ST,Oakland,CA
STOLEN VEHICLE,1/15/17 0:40,17-002648,VEHICLE THEFT - AUTO,31Z,10900 REPOSO DR,Oakland,CA
BURG - AUTO,12/23/16 7:15,16-068111,BURGLARY-AUTO,03X,00 10TH ST,Oakland,CA
DOMESTIC VIOLENCE,1/15/17 15:05,17-002649,THREAT CRIME:INT:TERRORIZE,26Y,1000 71ST AV,Oakland,CA
STOLEN VEHICLE,1/17/17 9:51,17-002651,VEHICLE THEFT - AUTO,26X,1200 48TH AV,Oakland,CA
BURG - RESIDENTIAL,11/22/16 1:00,16-915843,BURGLARY-FORCIBLE ENTRY,19X,1100 3RD AV,Oakland,CA
DOMESTIC VIOLENCE,1/15/17 13:55,17-002652,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,02X,800 13TH ST,Oakland,CA
PETTY THEFT,11/22/16 10:45,16-915849,THEFT,08X,3400 TELEGRAPH AV,Oakland,CA
MISDEMEANOR ASSAULT,11/11/16 20:30,16-060211,BATTERY (AMENDED),26Y,6600 LUCILLE ST,Oakland,CA
PETTY THEFT,11/22/16 11:00,16-915850,THEFT,15X,300 HANOVER AV,Oakland,CA
BURG - AUTO,11/11/16 8:15,16-060111,BURGLARY-AUTO,04X,1400 CLAY ST,Oakland,CA
DOMESTIC VIOLENCE,11/11/16 12:00,16-060114,VEHICLE THEFT - AUTO,04X,GRAND &TELEGRAPH AV AV,Oakland,CA
ROBBERY,11/11/16 18:00,16-060118,ROBBERY-OTHER DANGEROUS WEAPON,31Y,9700 EDES AV,Oakland,CA
STOLEN VEHICLE,11/11/16 14:45,16-060120,VEHICLE THEFT - AUTO,27X,5300 FOOTHILL BLVD,Oakland,CA
MISDEMEANOR ASSAULT,11/11/16 19:00,16-060121,BATTERY,34X,9300 SUNNYSIDE ST,Oakland,CA
RECOVERED O/S STOLEN,11/11/16 19:59,16-060127,VEHICLE THEFT - AUTO,33X,1200 83RD AV,Oakland,CA
FELONY ASSAULT,11/11/16 19:06,16-060129,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,02Y,1600 8TH ST,Oakland,CA
STOLEN VEHICLE,11/11/16 11:30,16-060130,VEHICLE THEFT - AUTO,17Y,2400 12TH AV,Oakland,CA
VANDALISM,11/11/16 20:32,16-060133,VANDALISM,34X,8300 BIRCH ST,Oakland,CA
MISDEMEANOR ASSAULT,11/11/16 20:45,16-060134,BATTERY,33X,8400 AMELIA ST,Oakland,CA
STOLEN VEHICLE,1/16/17 23:00,17-002996,VEHICLE THEFT - AUTO,12Y,300 60TH ST,Oakland,CA
BURG - AUTO,11/11/16 20:00,16-060135,BURGLARY-AUTO,07X,3200 ADELINE ST,Oakland,CA
BURG - AUTO,11/11/16 18:05,16-060138,BURGLARY-AUTO,01X,100 JEFFERSON ST,Oakland,CA
,2/8/17 0:00,17-902391,BURGLARY-AUTO,28X,4700 REDDING,Oakland,CA
BURG - AUTO,1/2/17 22:45,17-000435,BURGLARY-AUTO,26Y,1300 65TH AV,Oakland,CA
,2/7/17 19:00,17-902392,VANDALISM,23X,4100 INTERNATIONAL BOULEVARD,Oakland,CA
BURG - AUTO,1/1/17 4:00,17-900856,BURGLARY-AUTO,04X,2000 BROADWAY,Oakland,CA
ROBBERY,1/2/17 19:00,17-000470,ROBBERY-FIREARM,29X,5800 MORSE DR,Oakland,CA
MISDEMEANOR ASSAULT,11/19/16 21:30,16-061629,BATTERY,01X,00 BROADWAY,Oakland,CA
,2/8/17 6:30,17-902393,BURGLARY-AUTO,16Y,1400 EXCELSIOR AVE,Oakland,CA
ROBBERY,11/19/16 19:45,16-061632,ROBBERY-FIREARM,19X,1900 INTERNATIONAL BLVD,Oakland,CA
,2/6/17 23:00,17-902394,BURGLARY-AUTO,17Y,1000 E 24TH ST,Oakland,CA
,2/6/17 10:55,17-902395,BURGLARY-AUTO,31X,8400 EDGEWATER DRIVE,Oakland,CA
RECOVERED O/S STOLEN,11/22/16 15:07,16-062106,VEHICLE THEFT - AUTO,33X,ELLINGTON WY & TUBMAN DR,Oakland,CA
BURG - RESIDENTIAL,11/22/16 15:01,16-062107,BURGLARY-FORCIBLE ENTRY,28X,5300 YUBA AV,Oakland,CA
,2/8/17 1:00,17-902396,VANDALISM,16Y,3700 LINWOOD AVE,Oakland,CA
,2/4/17 6:20,17-902390,BURGLARY-FORCIBLE ENTRY,05Y,1600 CAMPBELL ST,Oakland,CA
,2/8/17 7:00,17-902397,BURGLARY-AUTO,16Y,3700 WOODRUFF AVE,Oakland,CA
DOMESTIC VIOLENCE,1/2/17 2:00,17-000168,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10Y,600 45TH ST,Oakland,CA
DRUNKENNESS,1/2/17 2:15,17-000169,DISORDERLY CONDUCT:TOLUENE,22X,3500 COOLIDGE AV,Oakland,CA
ROBBERY,1/2/17 2:30,17-000172,ROBBERY-FIREARM,20X,E 16TH ST & 26TH AV,Oakland,CA
MISDEMEANOR ASSAULT,1/2/17 2:30,17-000174,BATTERY,08X,2400 BROADWAY,Oakland,CA
,2/6/17 10:00,17-902387,BURGLARY-FORCIBLE ENTRY,24Y,3600 HAGEMAN AVE,Oakland,CA
,2/7/17 22:20,17-902388,BURGLARY-AUTO,,26TH ST,Oakland,CA
,2/8/17 0:00,17-902389,VANDALISM,11X,5700 CARBERRY AVE,Oakland,CA
BURG - RESIDENTIAL,1/2/17 23:02,17-000155,BURGLARY-FORCIBLE ENTRY,33X,8800 D ST,Oakland,CA
VANDALISM,1/2/17 0:00,17-000156,VANDALISM-$400+,05X,1200 18TH ST,Oakland,CA
DOMESTIC VIOLENCE,1/2/17 0:20,17-000159,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,08X,3500 TELEGRAPH AV,Oakland,CA
FELONY ASSAULT,1/2/17 0:44,17-000162,ASSAULT WITH FIREARM ON PERSON,33X,9600 D ST,Oakland,CA
NARCOTICS,1/2/17 0:50,17-000163,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",04X,400 BLK 22ND ST,Oakland,CA
,2/7/17 22:10,17-902386,BURGLARY-AUTO,,LAKESHORE/MACATHUR AVE,Oakland,CA
ROBBERY,1/2/17 1:15,17-000165,ROBBERY-FIREARM,27X,1900 47TH AV,Oakland,CA
DOMESTIC VIOLENCE,12/26/16 19:25,16-067924,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,03Y,400 7TH ST,Oakland,CA
STOLEN VEHICLE,12/26/16 20:54,16-067925,VEHICLE THEFT - AUTO,34X,9200 PLYMOUTH ST,Oakland,CA
BURG - AUTO,12/26/16 19:15,16-067934,BURGLARY-AUTO,01X,400 3RD ST,Oakland,CA
ROBBERY,12/26/16 19:00,16-067935,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",27X,4500 INTERNATIONAL BLVD,Oakland,CA
DOMESTIC VIOLENCE,11/11/16 15:00,16-060097,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,14X,200 MACARTHUR BLVD,Oakland,CA
DISORDERLY CONDUCT,11/11/16 16:48,16-060101,DISTURB THE PEACE,20X,2500 FOOTHILL BLVD,Oakland,CA
MISDEMEANOR ASSAULT,11/11/16 16:50,16-060104,BATTERY,06X,APGAR ST & LUSK ST,Oakland,CA
STOLEN VEHICLE,11/18/16 19:00,16-061537,VEHICLE THEFT - AUTO,08X,3700 WEBSTER ST,Oakland,CA
NARCOTICS,12/26/16 22:33,16-067936,DISORDERLY CONDUCT:TOLUENE,26X,45TH AV&INTERNATIONAL BLVD,Oakland,CA
MISDEMEANOR ASSAULT,12/26/16 9:00,16-067937,BATTERY,30X,7600 INTERNATIONAL BLVD,Oakland,CA
STOLEN VEHICLE,11/11/16 18:00,16-060185,VEHICLE THEFT - AUTO,20X,2800 E 10TH ST,Oakland,CA
ROBBERY,12/26/16 22:00,16-067938,ROBBERY-FIREARM,12Y,400 58TH ST,Oakland,CA
FRAUD,11/20/16 1:00,16-916172,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,04X,1700 FRANKLIN ST,Oakland,CA
,2/7/17 21:26,17-902379,BURGLARY-AUTO,,TELEGRAPH/W.GRAND AVE,Oakland,CA
,2/7/17 19:15,17-902380,BURGLARY-AUTO,08X,400 27TH ST,Oakland,CA
,2/7/17 21:00,17-902381,VANDALISM,,SAN PABLO BETWEEN 18TH & 19TH AVE,Oakland,CA
,2/2/17 19:00,17-902382,BURGLARY-AUTO,,FRANKLIN/ 15TH,Oakland,CA
,2/7/17 21:35,17-902383,BURGLARY-AUTO,,FRANKLIN ST,Oakland,CA
,2/7/17 21:00,17-902384,BURGLARY-AUTO,31X,8300 OAKPORT ST,Oakland,CA
DOMESTIC VIOLENCE,12/26/16 16:35,16-067900,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,2300 64TH AV,Oakland,CA
NARCOTICS,12/26/16 17:00,16-067901,11364.1(A)  UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE OR OTHER PARAPHERNALIA USED FOR INJECTING OR SMOKING A CONTROLLED SUBSTANCE,26Y,900 69TH AV,Oakland,CA
MISDEMEANOR ASSAULT,12/26/16 17:36,16-067913,BATTERY,03Y,900 MARTIN LUTHER KING JR W,Oakland,CA
MISDEMEANOR ASSAULT,12/26/16 18:09,16-067914,BATTERY,06X,700 SYCAMORE ST,Oakland,CA
HOMICIDE,12/26/16 19:18,16-067918,MURDER,24Y,2600 HUMBOLDT AV,Oakland,CA
MISDEMEANOR ASSAULT,12/26/16 19:20,16-067920,EXHIBIT FIREARM,32X,10100 INTERNATIONAL BLVD,Oakland,CA
ROBBERY,12/26/16 17:43,16-067921,ROBBERY-FIREARM,30X,FLORA ST & HAVENSCOURT BLVD,Oakland,CA
,2/7/17 19:00,17-902385,BURGLARY-AUTO,08X,300 26TH ST,Oakland,CA
WEAPONS,11/11/16 9:20,16-060032,USE/POSSESS TEARGAS BY CONVICTED FELON,23X,3600 INTERNATIONAL BLVD,Oakland,CA
ROBBERY,11/11/16 10:45,16-060038,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,1200 BROADWAY,Oakland,CA
PETTY THEFT,11/11/16 11:06,16-060039,THEFT,03Y,400 7TH ST,Oakland,CA
DOMESTIC VIOLENCE,11/11/16 10:56,16-060041,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02Y,900 CENTER ST,Oakland,CA
FELONY ASSAULT,11/11/16 10:08,16-060042,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26Y,1200 62ND AV,Oakland,CA
VANDALISM,11/11/16 12:12,16-060089,VANDALISM,12Y,5200 CLARKE ST,Oakland,CA
THREATS,11/11/16 10:35,16-060090,THREAT CRIME:INT:TERRORIZE,13Z,6700 SNAKE RD,Oakland,CA
STOLEN VEHICLE,11/11/16 7:00,16-060091,VEHICLE THEFT - AUTO,20X,1200 30TH AV,Oakland,CA
OTHER,11/11/16 14:56,16-060094,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,27Y,1400 SEMINARY AV,Oakland,CA
DOMESTIC VIOLENCE,12/26/16 12:00,16-067899,THREAT CRIME:INT:TERRORIZE,33X,9000 A ST,Oakland,CA
BURG - RESIDENTIAL,1/13/17 13:00,17-002641,BURGLARY-FORCIBLE ENTRY,29X,6900 FOOTHILL BLVD,Oakland,CA
STOLEN VEHICLE,12/26/16 15:00,16-067998,VEHICLE THEFT - AUTO,02Y,300 CHESTER ST,Oakland,CA
ROBBERY,1/15/17 15:02,17-002645,ROBBERY-FIREARM,01X,400 HARRISON ST,Oakland,CA
STOLEN VEHICLE,1/2/17 19:00,17-000524,VEHICLE THEFT - AUTO,34X,1500 96TH AV,Oakland,CA
,2/6/17 19:45,17-902370,BURGLARY-AUTO,12X,4700 SHATTUCK AVE,Oakland,CA
PETTY THEFT,1/2/17 21:00,17-000526,THEFT,06X,3300 MARTIN LUTHER KING JR W,Oakland,CA
,2/7/17 17:00,17-902371,VANDALISM,,12TH ST,Oakland,CA
STOLEN VEHICLE,11/19/16 11:00,16-061624,VEHICLE THEFT - AUTO,10Y,4100 LINDEN ST,Oakland,CA
,2/7/17 17:25,17-902372,VANDALISM,05X,1300 16TH ST,Oakland,CA
,2/7/17 8:20,17-902373,BURGLARY-FORCIBLE ENTRY,12X,400 40TH ST,Oakland,CA
STOLEN VEHICLE,11/29/16 14:00,16-063312,VEHICLE THEFT - AUTO,17X,1900 5TH AV,Oakland,CA
BURG - RESIDENTIAL,11/29/16 7:50,16-063348,BURGLARY-FORCIBLE ENTRY,13Z,6300 LONGCROFT DR,Oakland,CA
STOLEN VEHICLE,11/30/16 7:30,16-916699,ATTEMPT VEHICLE THEFT-AUTO,31X,700 73RD AV,Oakland,CA
,2/7/17 21:00,17-902374,VANDALISM,,0,Oakland,CA
,2/7/17 20:00,17-902375,BURGLARY-AUTO,09X,00 ECHO AVE,Oakland,CA
ROBBERY,11/19/16 21:30,16-061625,ROBBERY-FIREARM,17Y,2400 12TH AV,Oakland,CA
,2/7/17 19:30,17-902377,BURGLARY-AUTO,,15TH ST,Oakland,CA
,2/7/17 20:30,17-902378,VANDALISM,03X,300 11TH ST,Oakland,CA
BURG - COMMERCIAL,12/3/16 11:00,16-064397,BURGLARY-FORCIBLE ENTRY,04X,1900 FRANKLIN ST,Oakland,CA
DISORDERLY CONDUCT,1/15/17 11:11,17-002630,DISTURB THE PEACE,30X,1600 CHURCH ST,Oakland,CA
BURG - COMMERCIAL,11/11/16 2:39,16-060013,BURGLARY-FORCIBLE ENTRY,08X,2800 SUMMIT ST,Oakland,CA
GRAND THEFT,11/11/16 8:16,16-060014,GRAND THEFT,30X,8100 INTERNATIONAL BLVD,Oakland,CA
STOLEN VEHICLE,11/11/16 5:45,16-060015,VEHICLE THEFT - AUTO,05Y,1700 PERALTA ST,Oakland,CA
STOLEN VEHICLE,11/11/16 1:40,16-060019,VEHICLE THEFT - AUTO,26Y,900 66TH AV,Oakland,CA
STOLEN VEHICLE,11/11/16 0:00,16-060025,VEHICLE THEFT - AUTO,17X,700 E 18TH ST,Oakland,CA
BURG - AUTO,1/15/17 13:15,17-002632,BURGLARY-AUTO,13Z,6300 MORAGA AV,Oakland,CA
MISDEMEANOR ASSAULT,1/15/17 13:35,17-002633,BATTERY,35X,9400 PEACH ST,Oakland,CA
BURG - AUTO,1/15/17 12:00,17-002635,BURGLARY-AUTO,19X,500 5TH AVE,Oakland,CA
STOLEN VEHICLE,11/11/16 0:01,16-060028,VEHICLE THEFT - AUTO,10X,1000 60TH ST,Oakland,CA
DOMESTIC VIOLENCE,11/11/16 9:32,16-060029,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24X,4100 FOOTHILL BLVD,Oakland,CA
GRAND THEFT,1/15/17 14:07,17-002636,GRAND THEFT,03Y,1300 BROADWAY,Oakland,CA
VANDALISM,11/11/16 6:31,16-060005,VANDALISM (AMENDED),12X,4000 TELEGRAPH AV,Oakland,CA
FELONY ASSAULT,12/16/16 16:30,16-067456,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,07X,3400 HOLLIS ST,Oakland,CA
FRAUD,12/25/16 14:35,16-917617,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,06X,800 40TH ST,Oakland,CA
,1/24/17 16:55,17-902360,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,04X,600 THOMAS L. BERKLEY WAY,Oakland,CA
,2/7/17 13:00,17-902361,BURGLARY-AUTO,,1700 JEFFERSONC ST,Oakland,CA
,2/7/17 16:00,17-902362,VANDALISM,,CASTRO ST./16TH ST. ST,Oakland,CA
,2/7/17 15:30,17-902363,THEFT,,300 BAY PLACE,Oakland,CA
,2/5/17 19:00,17-902364,BURGLARY-FORCIBLE ENTRY,21Y,3100 SUTER ST,Oakland,CA
,2/1/17 3:00,17-902365,GRAND THEFT,02Y,1700 8TH ST,Oakland,CA
BURG - AUTO,12/23/16 22:30,16-917622,BURGLARY-AUTO,77X,0,Oakland,CA
,2/6/17 23:00,17-902367,BURGLARY-AUTO,23X,3900 SAN LEANDRO ST,Oakland,CA
FELONY ASSAULT,11/11/16 7:30,16-060007,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,27X,2100 50TH AV,Oakland,CA
STOLEN VEHICLE,11/11/16 0:30,16-060011,VEHICLE THEFT - AUTO,30Y,2600 74TH AV,Oakland,CA
,2/6/17 23:30,17-902368,BURGLARY-AUTO,,15TH AVENUE / E 19TH ST,Oakland,CA
,2/6/17 23:00,17-902369,BURGLARY-AUTO,23X,3900 SAN LEANDRO ST,Oakland,CA
DISORDERLY CONDUCT,1/17/17 16:06,17-003004,DISTURB THE PEACE,07X,3500 SAN PABLO AV,Oakland,CA
MISDEMEANOR ASSAULT,1/17/17 14:35,17-002998,BATTERY,30X,8100 INTERNATIONAL BLVD,Oakland,CA
DISORDERLY CONDUCT,1/17/17 16:04,17-003003,DISTURB THE PEACE,07X,3500 SAN PABLO AV,Oakland,CA
PETTY THEFT,1/15/17 15:30,17-003005,THEFT,34X,1800 94TH AVE,Oakland,CA
MISDEMEANOR ASSAULT,1/14/17 14:00,17-003049,BATTERY,13Y,6800 ELVERTON DR,Oakland,CA
VANDALISM,11/11/16 11:30,16-060082,VANDALISM,02Y,7TH ST & CENTER ST,Oakland,CA
PETTY THEFT,12/25/16 23:30,16-917580,THEFT,27X,2000 48TH AV,Oakland,CA
BURG - AUTO,12/25/16 15:25,16-917582,BURGLARY-AUTO,77X,GRAND AVE,Oakland,CA
DOMESTIC VIOLENCE,1/17/17 17:00,17-003050,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,10400 INTERNATIONAL BLVD,Oakland,CA
FELONY ASSAULT,11/11/16 1:37,16-059992,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32X,1200 99TH AV,Oakland,CA
FELONY ASSAULT,11/11/16 3:30,16-059998,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32X,9900 CHERRY ST,Oakland,CA
FELONY ASSAULT,11/11/16 3:52,16-060000,ASSAULT WITH FIREARM ON PERSON,34X,86TH AV & INTERNATIONAL BLVD,Oakland,CA
DOMESTIC VIOLENCE,11/11/16 5:00,16-060002,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,17Y,900 24TH ST,Oakland,CA
DOMESTIC VIOLENCE,1/17/17 19:20,17-003051,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21Y,2700 FRUITVALE AV,Oakland,CA
PETTY THEFT,1/17/17 8:00,17-003054,THEFT,03Y,400 9TH ST,Oakland,CA
VANDALISM,12/25/16 17:00,16-917556,VANDALISM,14X,700 GRAND AV,Oakland,CA
BURG - AUTO,12/25/16 13:30,16-917557,BURGLARY-AUTO,11X,500 58TH ST,Oakland,CA
STOLEN VEHICLE,12/25/16 19:40,16-917560,ATTEMPT VEHICLE THEFT-AUTO,08X,28TH ST & TELEGRAPH AV,Oakland,CA
PETTY THEFT,12/25/16 14:05,16-917561,THEFT,03Y,900 WASHINGTON ST,Oakland,CA
MISDEMEANOR ASSAULT,1/17/17 20:30,17-003055,BATTERY,03X,100 9TH ST,Oakland,CA
BURG - AUTO,1/17/17 20:45,17-003057,BURGLARY-AUTO,03X,IFO 500 12TH ST,Oakland,CA
RECOVERED O/S STOLEN,1/17/17 20:46,17-003059,VEHICLE THEFT - AUTO,21Y,2900 E 29TH ST,Oakland,CA
STOLEN VEHICLE,1/13/17 9:00,17-003007,VEHICLE THEFT - AUTO,24X,2500 35TH AV,Oakland,CA
BURG - AUTO,12/25/16 12:00,16-917573,BURGLARY-AUTO,35Y,9500 MOUNTAIN BLVD,Oakland,CA
BURG - AUTO,11/11/16 13:26,16-060068,BURGLARY-AUTO,25X,3800 MAYBELLE AV,Oakland,CA
NARCOTICS,11/11/16 12:50,16-060072,11364.1(A)  UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE OR OTHER PARAPHERNALIA USED FOR INJECTING OR SMOKING A CONTROLLED SUBSTANCE,08X,500 37TH ST,Oakland,CA
STOLEN VEHICLE,12/26/16 14:10,16-067881,ATTEMPT VEHICLE THEFT-AUTO,21X,2600 25TH AV,Oakland,CA
DOMESTIC VIOLENCE,12/26/16 2:00,16-067882,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,8400 EDES AV,Oakland,CA
ROBBERY,12/26/16 14:15,16-067884,ROBBERY-FIREARM,25Y,12600 SKYLINE BLVD,Oakland,CA
MISDEMEANOR ASSAULT,12/26/16 14:31,16-067888,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,31Z,SAN LEANDRO ST & STONE ST,Oakland,CA
,12/24/16 14:00,16-068055,VEHICLE THEFT - AUTO,14X,IFO 420 PERKINS ST,Oakland,CA
BURG - AUTO,12/24/16 11:20,16-068056,BURGLARY-AUTO,26X,5400 COLISEUM WY,Oakland,CA
BURG - AUTO,12/26/16 8:30,16-067891,BURGLARY-AUTO,12X,4400 TELEGRAPH AV,Oakland,CA
PROSTITUTION,12/26/16 23:02,16-067941,LOITER:INTENT:PROSTITUTION,19X,11TH AV & INTERNATIONAL BLVD,Oakland,CA
BURG - OTHER,12/26/16 23:10,16-067942,ATTEMPTED BURGLARY,12Y,6200 COLLEGE AV,Oakland,CA
VANDALISM,12/26/16 22:45,16-067945,VANDALISM,02Y,800 WILLOW ST,Oakland,CA
DOMESTIC VIOLENCE,12/26/16 23:30,16-067948,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,13Y,100 DUNCAN WY,Oakland,CA
DOMESTIC VIOLENCE,12/26/16 18:04,16-067892,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,30Y,7600 MACARTHUR BLVD,Oakland,CA
